Item_id,Item_Description,Category,Pack,Bottle_Volume_ml,Bottle_Cost,Bottle_Retail_Price
101,Kanna's Grapefruit Soda,Grapefruit Soda,6,750.0,4.32,6.48
102,Alphonse's Fruit Punch,Fruit Punch,6,800.0,3.33,5.0
103,Yummy Surstromming Juice,,1,750.0,10.3,20.1
107,Tamaki's Watermelon Cream,Cream Soda,6,750.0,4.44,6.66
108,Kaori's Grapefruit Soda,Grapefruit Soda,6,750.0,3.12,4.68
114,Yukino's Family Secret Black Cherry,Cherry Soda,6,750.0,3.92,5.88
115,Karma's Grapefruit Soda,Grapefruit Soda,6,750.0,3.62,5.43
124,Kaname's Black Cherry,Cherry Soda,6,3600.0,2.77,4.16
127,Alphonse's Berry Mix,Fruit Punch,6,750.0,2.77,4.16
129,Alphonse's Tropical Fruit Punch,Fruit Punch,6,750.0,2.77,4.16
133,Kazuma's Grapefruit Soda,Grapefruit Soda,6,750.0,2.84,4.26
139,Alucard's Fruit Punch,Fruit Punch,6,750.0,3.48,5.22
145,Kazuto's Grapefruit Soda,Grapefruit Soda,6,750.0,2.91,4.36
146,Alucard's Berry Mix,Fruit Punch,6,750.0,4.32,6.48
149,Keima's Grapefruit Soda,Grapefruit Soda,6,750.0,2.98,4.47
155,Ken's Grapefruit Soda,Grapefruit Soda,6,750.0,2.54,3.81
159,Kenji's Grapefruit Soda,Grapefruit Soda,6,750.0,3.69,5.54
160,Kenpachi's Grapefruit Soda,Grapefruit Soda,6,850.0,3.96,5.94
161,Alucard's Tropical Fruit Punch,Fruit Punch,6,950.0,2.91,4.37
163,Anju's Fruit Punch,Fruit Punch,24,200.0,2.31,3.46
173,Anju's Berry Mix,Fruit Punch,12,750.0,4.26,6.39
183,Anju's Tropical Fruit Punch,Fruit Punch,6,1850.0,3.58,5.37
208,Arataka's Fruit Punch,Fruit Punch,24,250.0,1.73,2.6
212,Kenshin's Grapefruit Soda,Grapefruit Soda,6,750.0,2.91,4.36
217,Kid's Grapefruit Soda,Grapefruit Soda,12,750.0,3.2,4.8
220,Arataka's Berry Mix,Fruit Punch,6,750.0,5.03,7.55
235,Arataka's Tropical Fruit Punch,Fruit Punch,6,750.0,3.61,5.42
238,Archer's Fruit Punch,Fruit Punch,6,1500.0,3.14,4.71
249,Azusa's Blueberry Pop,Blueberry Soda,20,150.0,2.4,3.6
250,Archer's Berry Mix,Fruit Punch,6,750.0,5.02,7.53
258,Celty's Craft Root Beer,Root Beer,1,6000.0,15.45,23.17
266,Dia's Cola,Cola,12,750.0,5.31,7.96
287,Archer's Tropical Fruit Punch,Fruit Punch,6,750.0,5.23,7.85
293,Armin's Fruit Punch,Fruit Punch,6,750.0,4.74,7.11
297,Azusa's Blueberry Soda,Blueberry Soda,6,750.0,4.05,6.08
308,Kenshin's Old Fashioned Cream Soda,Cream Soda,6,750.0,5.37,8.06
