,FileName,CustomerID,InvoiceID,Rating,Stars,Mstars
0,review00000.dat,2383,S11999300004,2/5,2,5
1,review00001.dat,9192,S05392500012,3/5,3,5
2,review00002.dat,4847,S18588700081,3/5,3,5
3,review00003.dat,4288,S34002200005,1/5,1,5
4,review00004.dat,1193,S10611300016,4/5,4,5
5,review00005.dat,9098,INV-08323600020,4/5,4,5
6,review00006.dat,1910,S26275400080,2/5,2,5
7,review00007.dat,9810,S13412800074,4/5,4,5
8,review00008.dat,9937,S31340000035,5/5,5,5
9,review00009.dat,9256,S08435100019,5/5,5,5
10,review00010.dat,9485,S24482700006,5/5,5,5
11,review00011.dat,7032,S10300500004,3/5,3,5
12,review00012.dat,6493,S22719700091,4/5,4,5
13,review00013.dat,2768,S32853300016,3/5,3,5
14,review00014.dat,3279,INV-08684500086,2/5,2,5
15,review00015.dat,1384,S22918500001,4/5,4,5
16,review00016.dat,1461,S29149900012,4/5,4,5
17,review00017.dat,2370,S06597100021,1/5,1,5
18,review00018.dat,4976,S21269100062,3/5,3,5
19,review00019.dat,4288,INV-09293200001,5/5,5,5
20,review00020.dat,7624,S12253500046,2/5,2,5
21,review00021.dat,3867,S16807300003,1/5,1,5
22,review00022.dat,6206,S05929500031,3/5,3,5
23,review00023.dat,1050,S17485500083,3/5,3,5
24,review00024.dat,4028,S19700400023,5/5,5,5
25,review00025.dat,3398,INV-06992000013,2/5,2,5
26,review00026.dat,3007,S04483600038,2/5,2,5
27,review00027.dat,2054,S13407100183,2/5,2,5
28,review00028.dat,8924,INV-01212300022,1/5,1,5
29,review00029.dat,3837,S09012700125,5/5,5,5
30,review00030.dat,6692,S32151500080,1/5,1,5
31,review00031.dat,4209,S26120100018,4/5,4,5
32,review00032.dat,4188,S21388900045,4/5,4,5
33,review00033.dat,5693,S06833300119,4/5,4,5
34,review00034.dat,9228,INV-07494300009,1/5,1,5
35,review00035.dat,1772,S26759100012,1/5,1,5
36,review00036.dat,4746,S09470800023,3/5,3,5
37,review00037.dat,2986,S05547300225,4/5,4,5
38,review00038.dat,3176,S11093400024,5/5,5,5
39,review00039.dat,6568,S05945600036,2/5,2,5
40,review00040.dat,5381,S33616400011,5/5,5,5
41,review00041.dat,3553,S27208600013,2/5,2,5
42,review00042.dat,3717,S30703400007,3/5,3,5
43,review00043.dat,9613,S05172100068,4/5,4,5
44,review00044.dat,8116,S03544900016,1/5,1,5
45,review00045.dat,6081,INV-02855700021,5/5,5,5
46,review00046.dat,8662,S21140200004,1/5,1,5
47,review00047.dat,4376,S24623500034,4/5,4,5
48,review00048.dat,4466,S11251300126,5/5,5,5
49,review00049.dat,2086,S22860100020,4/5,4,5
50,review00050.dat,5632,S08795100095,2/5,2,5
51,review00051.dat,7351,S07256800027,3/5,3,5
52,review00052.dat,3773,S12490200081,4/5,4,5
53,review00053.dat,1589,S23861300015,2/5,2,5
54,review00054.dat,6513,INV-05924700112,4/5,4,5
55,review00055.dat,8454,S32669200007,3/5,3,5
56,review00056.dat,9457,S11337000088,3/5,3,5
57,review00057.dat,6509,S21657100028,4/5,4,5
58,review00058.dat,1117,INV-00583800014,3/5,3,5
59,review00059.dat,4775,S29128400028,1/5,1,5
60,review00060.dat,6276,S21816600020,5/5,5,5
61,review00061.dat,6863,S16583300027,1/5,1,5
62,review00062.dat,4368,INV-08688400148,5/5,5,5
63,review00063.dat,2461,S07323700177,5/5,5,5
64,review00064.dat,5642,S17962600259,2/5,2,5
65,review00065.dat,9504,S30113900002,5/5,5,5
66,review00066.dat,5947,INV-05318800012,2/5,2,5
67,review00067.dat,9084,S06426000038,3/5,3,5
68,review00068.dat,2367,S23984800076,5/5,5,5
69,review00069.dat,9439,S17371900161,2/5,2,5
70,review00070.dat,8814,S10105300035,1/5,1,5
71,review00071.dat,7681,S33383400056,5/5,5,5
72,review00072.dat,1101,S07974800030,4/5,4,5
73,review00073.dat,3576,S15449700035,4/5,4,5
74,review00074.dat,8420,INV-06182500070,4/5,4,5
75,review00075.dat,1072,INV-05001400046,5/5,5,5
76,review00076.dat,9515,INV-06710300010,2/5,2,5
77,review00077.dat,1183,INV-07224400188,3/5,3,5
78,review00078.dat,2796,INV-07227500045,3/5,3,5
79,review00079.dat,6751,S07978100015,1/5,1,5
80,review00080.dat,6942,S05278100006,4/5,4,5
81,review00081.dat,1625,S32152200212,2/5,2,5
82,review00082.dat,5360,S22865900143,4/5,4,5
83,review00083.dat,9635,INV-06380900018,1/5,1,5
84,review00084.dat,6098,S11006800112,1/5,1,5
85,review00085.dat,8436,S13416900029,4/5,4,5
86,review00086.dat,3185,S03441800048,1/5,1,5
87,review00087.dat,9848,S29561200012,2/5,2,5
88,review00088.dat,2827,S32454300057,3/5,3,5
89,review00089.dat,2446,S14908600207,5/5,5,5
90,review00090.dat,2556,S25649900023,3/5,3,5
91,review00091.dat,2567,S05480600058,1/5,1,5
92,review00092.dat,5390,S05547300028,2/5,2,5
93,review00093.dat,9381,S32234100009,3/5,3,5
94,review00094.dat,7649,S10566300066,3/5,3,5
95,review00095.dat,5541,INV-07704700005,5/5,5,5
96,review00096.dat,5120,S33294200067,5/5,5,5
97,review00097.dat,3828,S24725800139,3/5,3,5
98,review00098.dat,4045,S05811500034,2/5,2,5
99,review00099.dat,3627,S12995300170,4/5,4,5
100,review00100.dat,1260,S29356700081,5/5,5,5
