FileName,CostumerID,InvoiceID,Review,Stars,Mstars
review00000.dat,2383,S11999300004,2/5,2,5
review00001.dat,9192,S05392500012,3/5,3,5
review00002.dat,4847,S18588700081,3/5,3,5
review00003.dat,4288,S34002200005,1/5,1,5
review00004.dat,1193,S10611300016,4/5,4,5
review00005.dat,9098,INV-08323600020,4/5,4,5
review00006.dat,1910,S26275400080,2/5,2,5
review00007.dat,9810,S13412800074,4/5,4,5
review00008.dat,9937,S31340000035,5/5,5,5
review00009.dat,9256,S08435100019,5/5,5,5
review00010.dat,9485,S24482700006,5/5,5,5
review00011.dat,7032,S10300500004,3/5,3,5
review00012.dat,6493,S22719700091,4/5,4,5
review00013.dat,2768,S32853300016,3/5,3,5
review00014.dat,3279,INV-08684500086,2/5,2,5
review00015.dat,1384,S22918500001,4/5,4,5
review00016.dat,1461,S29149900012,4/5,4,5
review00017.dat,2370,S06597100021,1/5,1,5
review00018.dat,4976,S21269100062,3/5,3,5
review00019.dat,4288,INV-09293200001,5/5,5,5
review00020.dat,7624,S12253500046,2/5,2,5
review00021.dat,3867,S16807300003,1/5,1,5
review00022.dat,6206,S05929500031,3/5,3,5
review00023.dat,1050,S17485500083,3/5,3,5
review00024.dat,4028,S19700400023,5/5,5,5
review00025.dat,3398,INV-06992000013,2/5,2,5
review00026.dat,3007,S04483600038,2/5,2,5
review00027.dat,2054,S13407100183,2/5,2,5
review00028.dat,8924,INV-01212300022,1/5,1,5
review00029.dat,3837,S09012700125,5/5,5,5
review00030.dat,6692,S32151500080,1/5,1,5
review00031.dat,4209,S26120100018,4/5,4,5
review00032.dat,4188,S21388900045,4/5,4,5
review00033.dat,5693,S06833300119,4/5,4,5
review00034.dat,9228,INV-07494300009,1/5,1,5
review00035.dat,1772,S26759100012,1/5,1,5
review00036.dat,4746,S09470800023,3/5,3,5
review00037.dat,2986,S05547300225,4/5,4,5
review00038.dat,3176,S11093400024,5/5,5,5
review00039.dat,6568,S05945600036,2/5,2,5
review00040.dat,5381,S33616400011,5/5,5,5
review00041.dat,3553,S27208600013,2/5,2,5
review00042.dat,3717,S30703400007,3/5,3,5
review00043.dat,9613,S05172100068,4/5,4,5
review00044.dat,8116,S03544900016,1/5,1,5
review00045.dat,6081,INV-02855700021,5/5,5,5
review00046.dat,8662,S21140200004,1/5,1,5
review00047.dat,4376,S24623500034,4/5,4,5
review00048.dat,4466,S11251300126,5/5,5,5
review00049.dat,2086,S22860100020,4/5,4,5
review00050.dat,5632,S08795100095,2/5,2,5
review00051.dat,7351,S07256800027,3/5,3,5
review00052.dat,3773,S12490200081,4/5,4,5
review00053.dat,1589,S23861300015,2/5,2,5
review00054.dat,6513,INV-05924700112,4/5,4,5
review00055.dat,8454,S32669200007,3/5,3,5
review00056.dat,9457,S11337000088,3/5,3,5
review00057.dat,6509,S21657100028,4/5,4,5
review00058.dat,1117,INV-00583800014,3/5,3,5
review00059.dat,4775,S29128400028,1/5,1,5
review00060.dat,6276,S21816600020,5/5,5,5
review00061.dat,6863,S16583300027,1/5,1,5
review00062.dat,4368,INV-08688400148,5/5,5,5
review00063.dat,2461,S07323700177,5/5,5,5
review00064.dat,5642,S17962600259,2/5,2,5
review00065.dat,9504,S30113900002,5/5,5,5
review00066.dat,5947,INV-05318800012,2/5,2,5
review00067.dat,9084,S06426000038,3/5,3,5
review00068.dat,2367,S23984800076,5/5,5,5
review00069.dat,9439,S17371900161,2/5,2,5
review00070.dat,8814,S10105300035,1/5,1,5
review00071.dat,7681,S33383400056,5/5,5,5
review00072.dat,1101,S07974800030,4/5,4,5
review00073.dat,3576,S15449700035,4/5,4,5
review00074.dat,8420,INV-06182500070,4/5,4,5
review00075.dat,1072,INV-05001400046,5/5,5,5
review00076.dat,9515,INV-06710300010,2/5,2,5
review00077.dat,1183,INV-07224400188,3/5,3,5
review00078.dat,2796,INV-07227500045,3/5,3,5
review00079.dat,6751,S07978100015,1/5,1,5
review00080.dat,6942,S05278100006,4/5,4,5
review00081.dat,1625,S32152200212,2/5,2,5
review00082.dat,5360,S22865900143,4/5,4,5
review00083.dat,9635,INV-06380900018,1/5,1,5
review00084.dat,6098,S11006800112,1/5,1,5
review00085.dat,8436,S13416900029,4/5,4,5
review00086.dat,3185,S03441800048,1/5,1,5
review00087.dat,9848,S29561200012,2/5,2,5
review00088.dat,2827,S32454300057,3/5,3,5
review00089.dat,2446,S14908600207,5/5,5,5
review00090.dat,2556,S25649900023,3/5,3,5
review00091.dat,2567,S05480600058,1/5,1,5
review00092.dat,5390,S05547300028,2/5,2,5
review00093.dat,9381,S32234100009,3/5,3,5
review00094.dat,7649,S10566300066,3/5,3,5
review00095.dat,5541,INV-07704700005,5/5,5,5
review00096.dat,5120,S33294200067,5/5,5,5
review00097.dat,3828,S24725800139,3/5,3,5
review00098.dat,4045,S05811500034,2/5,2,5
review00099.dat,3627,S12995300170,4/5,4,5
review00100.dat,1260,S29356700081,5/5,5,5
review00101.dat,4076,S06060700021,3/5,3,5
review00102.dat,1667,INV-09208400026,5/5,5,5
review00103.dat,8302,S19665000031,5/5,5,5
review00104.dat,6652,S24359400033,3/5,3,5
review00105.dat,6283,INV-04469200126,2/5,2,5
review00106.dat,4647,S20999100098,1/5,1,5
review00107.dat,1247,INV-06312300024,2/5,2,5
review00108.dat,8924,INV-09221400099,2/5,2,5
review00109.dat,3486,INV-05127000101,1/5,1,5
review00110.dat,6147,S15193100030,1/5,1,5
review00111.dat,8001,S16224200165,4/5,4,5
review00112.dat,1556,S10021100023,1/5,1,5
review00113.dat,5727,INV-09056100153,1/5,1,5
review00114.dat,5547,S30417000018,2/5,2,5
review00115.dat,6324,S05529800068,4/5,4,5
review00116.dat,4119,S17857200102,5/5,5,5
review00117.dat,6978,S31630600035,1/5,1,5
review00118.dat,2903,S26934600076,1/5,1,5
review00119.dat,6339,INV-01200000078,3/5,3,5
review00120.dat,4149,INV-07922600037,4/5,4,5
review00121.dat,8691,S09724900028,4/5,4,5
review00122.dat,6573,S26914400138,5/5,5,5
review00123.dat,2472,S09085100069,4/5,4,5
review00124.dat,7035,S33604800007,5/5,5,5
review00125.dat,4410,S32388500014,4/5,4,5
review00126.dat,7071,INV-09491000004,3/5,3,5
review00127.dat,9885,INV-07491900062,3/5,3,5
review00128.dat,8781,S11020200005,5/5,5,5
review00129.dat,5637,INV-04726400012,3/5,3,5
review00130.dat,8202,INV-00066400004,2/5,2,5
review00131.dat,5246,S09318600017,5/5,5,5
review00132.dat,6722,S22075700077,4/5,4,5
review00133.dat,2365,S22532000002,4/5,4,5
review00134.dat,4185,S06680300095,5/5,5,5
review00135.dat,3357,INV-05238300107,2/5,2,5
review00136.dat,6726,INV-00843400012,2/5,2,5
review00137.dat,8982,S19085800212,2/5,2,5
review00138.dat,3933,INV-07000200079,4/5,4,5
review00139.dat,1486,S14295900043,4/5,4,5
review00140.dat,8374,INV-07083700054,1/5,1,5
review00141.dat,8197,S06068300078,1/5,1,5
review00142.dat,2458,INV-05245600065,4/5,4,5
review00143.dat,4927,S25617500005,4/5,4,5
review00144.dat,9260,S15048500198,2/5,2,5
review00145.dat,3639,INV-08115000009,5/5,5,5
review00146.dat,3379,INV-07913100012,2/5,2,5
review00147.dat,7370,INV-06251300001,5/5,5,5
review00148.dat,3535,S13635800001,1/5,1,5
review00149.dat,9029,S22211900042,4/5,4,5
review00150.dat,1443,S06142000211,2/5,2,5
review00151.dat,2737,S18472000014,1/5,1,5
review00152.dat,3480,S22071300125,2/5,2,5
review00153.dat,7890,S32263000097,3/5,3,5
review00154.dat,6990,INV-09118200012,5/5,5,5
review00155.dat,6267,S27646500014,4/5,4,5
review00156.dat,9086,S13534800021,2/5,2,5
review00157.dat,6161,S25763900127,2/5,2,5
review00158.dat,7810,S19927800015,2/5,2,5
review00159.dat,7227,INV-09362100038,2/5,2,5
review00160.dat,7729,S25701600020,1/5,1,5
review00161.dat,1886,S28364400012,2/5,2,5
review00162.dat,6555,S29434300149,3/5,3,5
review00163.dat,1755,S04910700039,3/5,3,5
review00164.dat,4070,S04984600061,4/5,4,5
review00165.dat,2377,INV-09058000012,4/5,4,5
review00166.dat,1338,S17464100011,1/5,1,5
review00167.dat,2708,S32678400012,5/5,5,5
review00168.dat,2718,S25260200056,1/5,1,5
review00169.dat,5860,S09734400036,2/5,2,5
review00170.dat,6232,INV-03680000016,1/5,1,5
review00171.dat,8486,S33132600023,2/5,2,5
review00172.dat,6067,S32519100008,2/5,2,5
review00173.dat,6094,S33858800004,2/5,2,5
review00174.dat,6461,S30557700008,5/5,5,5
review00175.dat,2921,S30903300053,3/5,3,5
review00176.dat,8001,S23743000106,4/5,4,5
review00177.dat,3302,S06914000016,4/5,4,5
review00178.dat,3792,S14084300021,4/5,4,5
review00179.dat,1722,S28592200143,1/5,1,5
review00180.dat,1725,INV-02789300009,2/5,2,5
review00181.dat,1072,S29006100059,2/5,2,5
review00182.dat,3667,S09686300159,1/5,1,5
review00183.dat,1910,S29543800047,3/5,3,5
review00184.dat,5804,S29667200006,5/5,5,5
review00185.dat,4053,S09177900372,3/5,3,5
review00186.dat,4080,S33981200030,3/5,3,5
review00187.dat,4667,S13492400028,4/5,4,5
review00188.dat,7426,S20760900047,4/5,4,5
review00189.dat,6111,S15130300016,1/5,1,5
review00190.dat,5433,S06833300046,5/5,5,5
review00191.dat,6046,INV-07494000108,4/5,4,5
review00192.dat,2737,S18950600047,5/5,5,5
review00193.dat,1974,S19077700132,4/5,4,5
review00194.dat,5937,INV-05130700015,4/5,4,5
review00195.dat,1381,S11199500050,3/5,3,5
review00196.dat,8988,S07275500012,5/5,5,5
review00197.dat,5366,S17225000004,5/5,5,5
review00198.dat,9348,S19487500048,1/5,1,5
review00199.dat,9717,INV-05830900012,1/5,1,5
review00200.dat,1706,S15827200092,1/5,1,5
review00201.dat,9968,S32152200198,1/5,1,5
review00202.dat,3588,S22727000103,2/5,2,5
review00203.dat,9299,S20501500008,5/5,5,5
review00204.dat,7253,INV-06990200127,1/5,1,5
review00205.dat,8231,S20887700074,5/5,5,5
review00206.dat,4743,S24961800032,3/5,3,5
review00207.dat,9161,S13789500111,2/5,2,5
review00208.dat,9746,S11697500001,4/5,4,5
review00209.dat,6626,INV-02009200062,2/5,2,5
review00210.dat,9518,S28175200010,1/5,1,5
review00211.dat,7860,INV-03933800081,3/5,3,5
review00212.dat,1989,INV-03808800208,2/5,2,5
review00213.dat,6963,S30485000003,1/5,1,5
review00214.dat,2291,S08574600086,2/5,2,5
review00215.dat,2326,S24716900076,5/5,5,5
review00216.dat,6041,S15026600095,4/5,4,5
review00217.dat,8658,S12298100033,1/5,1,5
review00218.dat,9348,S29561200052,5/5,5,5
review00219.dat,9431,S32618700036,3/5,3,5
review00220.dat,9667,S06314300026,3/5,3,5
review00221.dat,7581,S23029700048,5/5,5,5
review00222.dat,7053,S22917700077,4/5,4,5
review00223.dat,2242,S27018000044,5/5,5,5
review00224.dat,9747,S17097800029,1/5,1,5
review00225.dat,5009,S06074700012,4/5,4,5
review00226.dat,6400,S06910700043,2/5,2,5
review00227.dat,2259,S34054300010,2/5,2,5
review00228.dat,7624,INV-07088600005,5/5,5,5
review00229.dat,5803,S33212400009,5/5,5,5
review00230.dat,8196,S06783800024,4/5,4,5
review00231.dat,9366,S17070700017,3/5,3,5
review00232.dat,6672,S31142700026,2/5,2,5
review00233.dat,9355,S07896500090,3/5,3,5
review00234.dat,1257,S32511100005,3/5,3,5
review00235.dat,1776,S21593600073,3/5,3,5
review00236.dat,8220,S14759600029,1/5,1,5
review00237.dat,7443,S33852100015,2/5,2,5
review00238.dat,9059,S08383300025,1/5,1,5
review00239.dat,4925,INV-00594900110,3/5,3,5
review00240.dat,4022,INV-01870600071,1/5,1,5
review00241.dat,1897,S21134100051,5/5,5,5
review00242.dat,5291,INV-04602700003,5/5,5,5
review00243.dat,9625,S32130800044,1/5,1,5
review00244.dat,8143,S29574700014,1/5,1,5
review00245.dat,2737,INV-01141800039,4/5,4,5
review00246.dat,6334,INV-04129700050,5/5,5,5
review00247.dat,5674,S31922800005,1/5,1,5
review00248.dat,5458,INV-04003400012,4/5,4,5
review00249.dat,3284,S14020100012,1/5,1,5
review00250.dat,3181,INV-03543300094,2/5,2,5
review00251.dat,8162,S26885900037,2/5,2,5
review00252.dat,9771,S07493400045,4/5,4,5
review00253.dat,3408,S18588500004,1/5,1,5
review00254.dat,2893,S11359000004,2/5,2,5
review00255.dat,6757,S25092200039,1/5,1,5
review00256.dat,3723,S16857300021,4/5,4,5
review00257.dat,9684,INV-08396700008,2/5,2,5
review00258.dat,7423,S06900800046,2/5,2,5
review00259.dat,2111,S24913400115,2/5,2,5
review00260.dat,8226,S29094100011,1/5,1,5
